,news.clickysound.com,en.farsnews.com,cooptv.wordpress.com,alethonews.wordpress.com,onlinebaseweb.com,smmsyria.wordpress.com,doc.aljazeera.net,www.easybranches.biz,trib.al,truththeory.com,anonymous-news.com,welcome-to-pottersville2.blogspot.com,www.g01m.rocks,news360.com,www.alaraby.co.uk,www.cbsnews.com,www.bibliotecapleyades.net,www.anews.com.tr,www.wrongkindofgreen.org,coffeeshop88.com,www.makewarshistory.co.uk,www.tasnimnews.com,www.aljazeera.com,www.brotherjohnf.com,www.truepatriot.net,www.elethos.gr,mronline.org,renematosruiz6663.wordpress.com,www.intellinews.org,www.humofun.com,iknowbro.com,www.infowars.com,hamassenger.com,talesfromtheloublog.wordpress.com,landdestroyer.blogspot.com.au,aml.ink,en.news-front.info,www.eleftherostypos.gr,www.middleeastmonitor.com,www.darkpolitricks.com,www.telesurtv.net,webegram.org,thewashingtonstandard.com,consortiumnews.com,act.thesyriacampaign.org,gu.com,www.datamun.com,www.thesleuthjournal.com,arabtv6.com,www.intellihub.com,www.antinews.in,www.engportals.org,oscars.einnews.com,www.google.com,newslive.today,failedevolution.blogspot.com,asheepnomore.net,apple.news,www.mintpressnews.com,furor.tv,southfront.org,www.news24.com,english.alarabiya.net,www.liveleak.com,ow.ly,english.almanar.com.lb,www.iefimerida.gr,www.alternet.org,www.theamericanconservative.com,ciiradio.com,www.bbc.com,www.sawaus.org,alwaght.com,freedombunker.com,peoplesmillion.whitehelmets.org,www.riyadhvision.com.sa,middle-east.timesofnews.com,www.breitbart.com,survivalhacking.com,www.newssummedup.com,www.enabbaladi.net,propagandaticker.wordpress.com,www.thetruthseeker.co.uk,travelwirenews.com,friendsofsyria.wordpress.com,beforeitsnews.com,pamelageller.com,www.belfasttelegraph.co.uk,wkfr.com,livingpgh.com,landdestroyer.blogspot.nl,www.f3nws.com,www.metronews.ca,www.cityofpgh.com,nexusnewsfeed.com,fbreporter.org,www.silvanuspublishing.com,en1kurdipost.wordpress.com,malaysiaupdates.com,None,theworldbulletin.com,destyy.com,www.blacklistednews.com,corneey.com,bsnews.info,newscdn.newsrep.net,galacticconnection.com,syrianfreepress.wordpress.com,www.dailymail.co.uk,thefreethoughtproject.com,www.1clickdaily.com,www.safrica24.com,www.zerohedge.com,en.addiyar.com,www.thelastamericanvagabond.com,dlvr.it,www.latestnigeriannews.com,lewrockwell.com,anonhq.com,www.rferl.org,p.feedblitz.com,salespree.com,flipboard.com,www.ems1.com,www.syrianews.cc,deazijnpisser.blogspot.com,www.therussophile.org,www.islamicinvitationturkey.com,www.middleeasteye.net,jackpineradicals.com,dissidentvoice.org,www.fiweh.com,www.washingtonsblog.com,1newsnet.com,arretsurinfo.ch,castwb.com,www.abc.es,getpocket.com,21stcenturywire.com,en.alalam.ir,reportuk.me,france.timesofnews.com,www.hangthebankers.com,www.caribflame.com,www.betrendsetter.today,medium.com,www.news.club,govtslaves.info,mwcnews.net,www.rocketnews.com,www.france24.com,failedevolution.blogspot.gr,indianexpress.com,video.whyy.org,apnews.com,t.co,video.wgby.org,epeak.in,www.veteranstoday.com,www.kaos.gr,www.davidicke.com,chroniclesofshame.com,actualidad.rt.com,www.bbc.co.uk,www.strategic-culture.org,www.revereradionetwork.com,tllt.in,www.theeventchronicle.com,enantion.gr,www.activistpost.com,www.timesofisrael.com,www.informationclearinghouse.info,russia.timesofnews.com,www.dcclothesline.com,sputniknews.com,www.jewworldorder.org,www.telegraph.co.uk,www.thefringenews.com,www.nakedcapitalism.com,sirioandaluz.blogspot.com.es,macedoniaonline.eu,www.alaturka.us,aa.com.tr,blackchristiannews.com,www.welt.de,www.creedpolitico.com,feedproxy.google.com,peoplestrusttoronto.wordpress.com,www.hindustantimes.com,e-th.es,www.arabnews.com,habibifunkrecords.bandcamp.com,russia-insider.com,www.rt.com,thefifthcolumnnews.com,theantimedia.org,timhayward.wordpress.com,hpub.org,jforpeace.blogspot.com,www.almasdarnews.com,aranews.net,www.syriasolidaritymovement.org,steemit.com,www.b7d.org,yournewswire.com,wkmi.com,thewallwillfall.org,www.theguardian.com,counterinformation.wordpress.com,uk.timesofnews.com,noraneco.club,disobedientmedia.com,www.africa-news.info,therealnews.com,reclaimourrepublic.wordpress.com,www.sott.net,www.irishexaminer.com,therahnuma.com,www.mk.ru,indicator.gr,usa.timesofnews.com,owata-anntena.com,end-times-synapse.blogspot.com,tn.ai,www.bignewsnetwork.com,lisaandrews1968.wordpress.com,townhall.com,www.usnews.com,shar.es,notinthenews.uk,www.wsj.com,nworeport.me,www.theartofannihilation.com,theduran.com,www.linkedin.com,clarityofsignal.com,investmentwatchblog.com,www.mirror.co.uk,theindicter.com,geopolitics.co,www.independent.co.uk,srilankaoneislandtwonations.tumblr.com,www.bing.com,uprootedpalestinians.wordpress.com,es.rt.com,deazijnpisser.blogspot.nl,english.kolkata24x7.com,www.gdnonline.com
news.clickysound.com,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en.farsnews.com,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooptv.wordpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alethonews.wordpress.com,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
onlinebaseweb.com,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
smmsyria.wordpress.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc.aljazeera.net,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.easybranches.biz,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
trib.al,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,132,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
truththeory.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
