"('http://21stcenturywire.com/2017/09/06/tipperarys-white-helmets-peace-prize-judas-kiss-antiwar-movement-syria/', datetime.datetime(2017, 9, 6, 17, 18, 35))","('https://syria360.wordpress.com/2017/09/06/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria/', datetime.datetime(2017, 9, 6, 20, 12, 45))","('https://friendsofsyria.wordpress.com/2017/09/06/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria/', datetime.datetime(2017, 9, 6, 21, 40, 19))","('http://beforeitsnews.com/alternative/2017/09/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria-3550571.html', datetime.datetime(2017, 9, 8, 5, 16, 4))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://www.truepatriot.net/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 7, 44))","('http://survivalhacking.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 21, 19))","('http://www.revereradionetwork.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 24, 36))","('http://beforeitsnews.com/alternative/2017/06/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses-3525521.html', datetime.datetime(2017, 6, 24, 17, 35))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://habibifunkrecords.bandcamp.com/merch/i-hate-hate-t-shirt-habibi-funk-edition-aubergine-t-shirt', datetime.datetime(2017, 7, 3, 21, 8, 57))","('http://arabtv6.com/videos/%d8%a3%d9%81%d9%84%d8%a7%d9%85-%d9%88%d8%ab%d8%a7%d8%a6%d9%82%d9%8a%d9%87/syrias-white-helmets-witness/', datetime.datetime(2017, 7, 28, 4, 40, 43))","('https://medium.com/@IranArabSpring/the-whitehelmets-cleans-the-schools-before-the-new-season-8f1297bff1ae', datetime.datetime(2017, 8, 8, 14, 9, 27))","('https://www.enabbaladi.net/archives/166614', datetime.datetime(2017, 8, 12, 17, 56, 2))","('http://www.iefimerida.gr/news/355919/friki-sti-syria-ektelesan-en-psyhro-epta-diasostes-ton-white-helmets', datetime.datetime(2017, 8, 13, 6, 52, 20))","('https://e-th.es/w9jz1', datetime.datetime(2017, 8, 13, 7, 16, 28))","('http://www.eleftherostypos.gr/diethni/120652-friki-sti-syria-ektelesan-en-psyxro-epta-diasostes-ton-white-helmets-binteo/', datetime.datetime(2017, 8, 13, 7, 20, 44))","('http://www.mk.ru/incident/2017/08/13/v-sirii-ubity-semero-medikov-iz-gruppy-belye-kaski.html', datetime.datetime(2017, 8, 13, 9, 43, 23))","('https://indicator.gr/%cf%83%cf%85%cf%81%ce%af%ce%b1-%ce%b5%cf%80%ce%b9%cf%84%ce%ad%ce%b8%ce%b7%ce%ba%ce%b1%ce%bd-%ce%ba%ce%b1%ce%b9-%cf%83%ce%ba%cf%8c%cf%84%cf%89%cf%83%ce%b1%ce%bd-7-%ce%b5%ce%b8%ce%b5%ce%bb%ce%bf%ce%bd', datetime.datetime(2017, 8, 13, 17, 38, 49))","('https://enantion.gr/2017/08/13/%cf%83%cf%85%cf%81%ce%af%ce%b1-%ce%b5%ce%ba%cf%84%ce%ad%ce%bb%ce%b5%cf%83%ce%b7-%ce%b4%ce%b9%ce%b1%cf%83%cf%89%cf%83%cf%84%cf%8e%ce%bd-%cf%84%cf%89%ce%bd-white-helmets-%ce%bd%ce%b5%ce%ba%cf%81/', datetime.datetime(2017, 8, 13, 19, 35, 40))","('http://doc.aljazeera.net/node/80759', datetime.datetime(2017, 8, 18, 22, 25, 28))",,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://trib.al/YioLbRp', datetime.datetime(2017, 8, 12, 14, 4, 50))","('https://www.intellinews.org/united-kingdom/dailymail/2017/08/12/white-helmets-rescuers-shot-dead-in-syria/', datetime.datetime(2017, 8, 12, 16, 24, 4))","('http://www.betrendsetter.today/white-helmets-rescuers-shot-dead-in-syria-breaking-news.html', datetime.datetime(2017, 8, 13, 13, 8, 20))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.therussophile.org/the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda.html/', datetime.datetime(2017, 7, 4, 5, 59, 22))","('http://www.thetruthseeker.co.uk/?p=154188', datetime.datetime(2017, 7, 4, 9, 52, 5))","('https://lewrockwell.com/2017/07/phil-giraldi/fraud-white-helmets/', datetime.datetime(2017, 7, 5, 4, 12, 17))","('http://www.hangthebankers.com/hollywood-propaganda-white-helmets-syria/', datetime.datetime(2017, 7, 5, 14, 1, 52))","('https://en.news-front.info/2017/07/05/the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda/', datetime.datetime(2017, 7, 5, 16, 9, 57))","('http://www.caribflame.com/2017/07/the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda/', datetime.datetime(2017, 7, 5, 18, 43, 23))","('http://www.blacklistednews.com/The_Fraud_of_the_White_Helmets/59520/0/38/38/Y/M.html', datetime.datetime(2017, 7, 5, 19, 34, 24))","('http://hpub.org/The_Fraud_of_the_White_Helmets-59520/', datetime.datetime(2017, 7, 5, 19, 39, 7))","('http://www.thefringenews.com/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 5, 20, 9, 48))","('https://counterinformation.wordpress.com/2017/07/09/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 6, 0, 7, 58))","('http://freedombunker.com/2017/07/04/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 6, 2, 21, 7))","('http://russia.timesofnews.com/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 6, 14, 27, 38))","('http://russia-insider.com/en/politics/fraud-white-helmets/ri20286?ct=t%28Russia_Insider_Daily_Headlines11_21_2014%29&mc_cid=3037e81a9b&mc_eid=8a2fc3ee08', datetime.datetime(2017, 7, 6, 16, 28, 19))","('http://www.darkpolitricks.com/2017/07/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 6, 19, 30, 13))","('https://alethonews.wordpress.com/2017/07/04/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 7, 13, 47, 50))","('https://www.sott.net/article/355780-Hollywood-promotes-yet-another-lie-The-fraud-of-the-White-Helmets', datetime.datetime(2017, 7, 7, 17, 14, 28))","('http://beforeitsnews.com/economy/2017/07/the-fraud-of-the-white-helmets-2900794.html', datetime.datetime(2017, 7, 8, 4, 0))","('http://www.informationclearinghouse.info/47400.htm#.WWUobVFJdKM.twitter', datetime.datetime(2017, 7, 10, 1, 59, 52))","('https://uprootedpalestinians.wordpress.com/2017/07/09/the-fraud-of-the-white-helmets/', datetime.datetime(2017, 7, 10, 6, 48, 9))","('http://www.jewworldorder.org/hollywood-promotes-propaganda-about-the-white-helmets-in-syria/', datetime.datetime(2017, 7, 20, 19, 5, 35))",,,,,,,,,,,,,,,,,
"('https://apnews.com/b86ec7c7584a4e2a8ca1e113aa29a098', datetime.datetime(2017, 8, 12, 9, 28, 38))","('http://www.metronews.ca/news/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html', datetime.datetime(2017, 8, 12, 9, 31, 3))","('http://www.dailymail.co.uk/wires/ap/article-4784180/7-White-Helmets-members-shot-dead-northwestern-Syria.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490', datetime.datetime(2017, 8, 12, 9, 45, 44))","('http://indianexpress.com/article/world/seven-white-helmets-members-shot-dead-in-northwestern-syria-4793530/', datetime.datetime(2017, 8, 12, 10, 23, 32))","('http://feedproxy.google.com/~r/newsok/home/~3/cI_8cEMsa8c/1362299', datetime.datetime(2017, 8, 12, 10, 31, 3))","('https://www.alaraby.co.uk/english/news/2017/8/12/7-white-helmets-members-shot-dead-in-northwestern-syria', datetime.datetime(2017, 8, 12, 12, 42, 15))","('http://english.alarabiya.net/en/News/middle-east/2017/08/12/Seven-White-Helmets-medics-killed-in-Syria-s-Idlib.html', datetime.datetime(2017, 8, 12, 14, 5, 22))","('http://castwb.com/7-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 12, 14, 37, 16))","('https://townhall.com/news/politics-elections/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria-n2367669', datetime.datetime(2017, 8, 12, 14, 40, 13))","('https://www.g01m.rocks/q/?45351454d054c4444494d4f011416131411111f05444f4e4f0d4f434e0357554e424142514e0757575f0f0a105454584', datetime.datetime(2017, 8, 12, 15, 19, 31))","('https://www.usnews.com/news/world/articles/2017-08-12/7-white-helmets-members-shot-dead-in-northwestern-syria', datetime.datetime(2017, 8, 12, 15, 54, 10))","('http://www.gdnonline.com/Details/249329/Seven-White-Helmets-members-shot-dead-in-northwestern-Syria', datetime.datetime(2017, 8, 12, 17, 0, 3))","('http://blackchristiannews.com/2017/08/7-white-helmets-medics-killed-in-syrias-idlib-province-23-rebels-killed-in-suicide-attack/', datetime.datetime(2017, 8, 12, 17, 11, 57))","('http://www.easybranches.biz/arabic-news/1975063.html', datetime.datetime(2017, 8, 12, 17, 22, 39))","('http://middle-east.timesofnews.com/seven-white-helmets-medics-killed-in-syrias-idlib.html', datetime.datetime(2017, 8, 12, 18, 47, 41))","('http://www.news24.com/World/News/7-white-helmets-medics-killed-in-syrias-idlib-20170812?isapp=true', datetime.datetime(2017, 8, 12, 20, 30, 2))","('http://www.safrica24.com/world/7-white-helmets-medics-killed-in-syrias-idlib/17973-news', datetime.datetime(2017, 8, 12, 20, 34, 2))","('https://t.co/IYu3SaB5u8', datetime.datetime(2017, 8, 12, 21, 15, 31))","('http://www.arabnews.com/node/1143641/middle-east#.WY9zApsUXHI.twitter', datetime.datetime(2017, 8, 12, 21, 34, 2))","('http://www.aljazeera.com/news/2017/08/white-helmets-medics-killed-syria-idlib-170812211919453.html', datetime.datetime(2017, 8, 12, 22, 4, 57))","('http://www.news.club/seven-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 12, 22, 8, 56))","('https://epeak.in/2017/08/12/seven-white-helmets-medics-killed-in-syrias-idlib-syria-news/', datetime.datetime(2017, 8, 12, 22, 27, 20))","('http://malaysiaupdates.com/2017/08/12/seven-white-helmets-medics-killed-in-syrias-idlib-syria-news/', datetime.datetime(2017, 8, 12, 22, 33, 52))","('https://1newsnet.com/seven-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 12, 22, 52, 21))","('http://www.rocketnews.com/2017/08/seven-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 12, 23, 25, 56))","('http://dlvr.it/PdgScb', datetime.datetime(2017, 8, 12, 23, 28, 11))","('http://therahnuma.com/2017/08/12/7-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 12, 23, 38, 16))","('https://www.wsj.com/amp/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963', datetime.datetime(2017, 8, 13, 0, 36, 51))","('http://france.timesofnews.com/seven-white-helmets-medics-killed-in-syrias-idlib', datetime.datetime(2017, 8, 13, 2, 47, 51))","('http://www.humofun.com/2017/08/7-white-helmets-medics-killed-in-syrias.html', datetime.datetime(2017, 8, 13, 3, 46, 11))","('http://trib.al/NLSW0DV', datetime.datetime(2017, 8, 13, 6, 0, 15))","('http://www.riyadhvision.com.sa/2017/08/13/seven-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 13, 7, 0, 32))","('https://www.fiweh.com/7-white-helmets-medics-killed-in-syrias-idlib/7/', datetime.datetime(2017, 8, 13, 13, 31, 28))","('https://www.google.com/newsstand/s/posts/CAIiEJHyL2Hb6hzcIo2jj_OZX8wqFAgEKgwIACoFCAowhgIwkDgw0O8B/Seven+White+Helmets+medics+killed+in+Syria%27s+Idlib', datetime.datetime(2017, 8, 13, 18, 0, 51))","('http://mwcnews.net/news/middle-east/67472-white-helmets-medics-killed.html', datetime.datetime(2017, 8, 13, 19, 52, 30))","('http://ciiradio.com/2017/08/14/seven-white-helmets-medics-killed-in-syrias-idlib/', datetime.datetime(2017, 8, 14, 12, 39, 16))","('https://www.ems1.com/international/articles/314646048-7-White-Helmets-paramedics-killed-in-Syrias-Idlib/', datetime.datetime(2017, 8, 18, 13, 31, 19))"
"('http://www.wrongkindofgreen.org/2017/09/06/investigation-white-helmets-committing-acts-of-terror-across-syria/', datetime.datetime(2017, 9, 6, 18, 15, 49))","('https://www.mintpressnews.com/investigation-white-helmets-committing-acts-terror-across-syria/231597/#.WbCjvpxCZgQ.twitter', datetime.datetime(2017, 9, 6, 19, 25, 39))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://www.brotherjohnf.com/white-helmets-severed-heads-syrian-arab-army-soldiers-paraded-trophies-endorsed-channel-4/', datetime.datetime(2017, 6, 21, 22, 20, 1))","('https://www.davidicke.com/article/416770/syrias-white-helmets-al-qaedas-co-workers-severed-heads-syrian-arab-army-soldiers-paraded-trophies', datetime.datetime(2017, 6, 23, 6, 24, 48))","('http://news.clickysound.com/syrias-white-helmets-al-qaedas-co-workers-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies/', datetime.datetime(2017, 6, 23, 6, 43, 57))","('http://notinthenews.uk/david-icke/syrias-white-helmets-al-qaedas-co-workers-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies/', datetime.datetime(2017, 6, 24, 1, 34, 42))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://www.jewworldorder.org/al-qaeda-leader-praises-white-helmets-as-hidden-soldiers-of-the-revolution/', datetime.datetime(2017, 5, 27, 21, 29, 58))","('http://www.mintpressnews.com/al-qaeda-leader-praises-white-helmets-as-hidden-soldiers-of-the-revolution/227623/', datetime.datetime(2017, 6, 7, 10, 32, 13))","('https://www.sott.net/article/350518-Video-confirms-White-Helmets-are-Al-Qaedas-Hidden-Soldiers', datetime.datetime(2017, 8, 18, 9, 21, 11))","('https://www.activistpost.com/2017/05/al-qaeda-leader-praises-white-helmets-as-hidden-soldiers-of-the-revolution.html', datetime.datetime(2017, 8, 19, 13, 23, 5))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.rt.com/news/378695-oscar-white-helmets-win/', datetime.datetime(2017, 6, 18, 23, 11, 42))","('https://pamelageller.com/2017/02/white-helmets-qaeda-oscar.html/', datetime.datetime(2017, 6, 27, 2, 35, 17))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://steemit.com/news/@clarityofsignal/tapestry-of-terror-highly-graphic-white-helmets-exposed-as-fsa-terrorists-linked-with-isis', datetime.datetime(2017, 6, 14, 17, 42, 48))","('https://www.liveleak.com/view?i=b5a_1490533325', datetime.datetime(2017, 7, 14, 13, 3, 5))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.activistpost.com/2017/08/msm-weeps-for-dead-white-helmets-terrorists-cries-for-nusra.html', datetime.datetime(2017, 8, 16, 20, 40, 34))","('https://www.sott.net/article/359510-Mainstream-media-weeps-over-deaths-of-terrorist-brigade-White-Helmets-a-documented-wing-of-al-Nusra-front', datetime.datetime(2017, 8, 17, 21, 52, 29))","('http://jforpeace.blogspot.com/2017/08/mainstream-media-weeps-for-dead-white.html', datetime.datetime(2017, 8, 19, 0, 16, 57))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
