,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"datetime(2017, 6, 23, 21, 7, 44)","datetime(2017, 6, 23, 21, 21, 19)","datetime(2017, 6, 23, 21, 24, 36)","datetime(2017, 6, 24, 17, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,"datetime(2017, 7, 3, 21, 8, 57)","datetime(2017, 7, 28, 4, 40, 43)","datetime(2017, 8, 8, 14, 9, 27)","datetime(2017, 8, 12, 17, 56, 2)","datetime(2017, 8, 13, 6, 52, 20)","datetime(2017, 8, 13, 7, 16, 28)","datetime(2017, 8, 13, 7, 20, 44)","datetime(2017, 8, 13, 9, 43, 23)","datetime(2017, 8, 13, 17, 38, 49)","datetime(2017, 8, 13, 19, 35, 40)","datetime(2017, 8, 18, 22, 25, 28)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,"datetime(2017, 8, 12, 14, 4, 50)","datetime(2017, 8, 12, 16, 24, 4)","datetime(2017, 8, 13, 13, 8, 20)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,"datetime(2017, 7, 4, 5, 59, 22)","datetime(2017, 7, 4, 9, 52, 5)","datetime(2017, 7, 5, 4, 12, 17)","datetime(2017, 7, 5, 14, 1, 52)","datetime(2017, 7, 5, 16, 9, 57)","datetime(2017, 7, 5, 18, 43, 23)","datetime(2017, 7, 5, 19, 34, 24)","datetime(2017, 7, 5, 19, 39, 7)","datetime(2017, 7, 5, 20, 9, 48)","datetime(2017, 7, 6, 0, 7, 58)","datetime(2017, 7, 6, 2, 21, 7)","datetime(2017, 7, 6, 14, 27, 38)","datetime(2017, 7, 6, 16, 28, 19)","datetime(2017, 7, 6, 19, 30, 13)","datetime(2017, 7, 7, 13, 47, 50)","datetime(2017, 7, 7, 17, 14, 28)","datetime(2017, 7, 8, 4, 0)","datetime(2017, 7, 10, 1, 59, 52)","datetime(2017, 7, 10, 6, 48, 9)","datetime(2017, 7, 20, 19, 5, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,"datetime(2017, 8, 12, 9, 28, 38)","datetime(2017, 8, 12, 9, 31, 3)","datetime(2017, 8, 12, 9, 45, 44)","datetime(2017, 8, 12, 10, 23, 32)","datetime(2017, 8, 12, 10, 31, 3)","datetime(2017, 8, 12, 12, 42, 15)","datetime(2017, 8, 12, 14, 5, 22)","datetime(2017, 8, 12, 14, 37, 16)","datetime(2017, 8, 12, 14, 40, 13)","datetime(2017, 8, 12, 15, 19, 31)","datetime(2017, 8, 12, 15, 54, 10)","datetime(2017, 8, 12, 17, 0, 3)","datetime(2017, 8, 12, 17, 11, 57)","datetime(2017, 8, 12, 17, 22, 39)","datetime(2017, 8, 12, 18, 47, 41)","datetime(2017, 8, 12, 20, 30, 2)","datetime(2017, 8, 12, 20, 34, 2)","datetime(2017, 8, 12, 21, 15, 31)","datetime(2017, 8, 12, 21, 34, 2)","datetime(2017, 8, 12, 22, 4, 57)","datetime(2017, 8, 12, 22, 8, 56)","datetime(2017, 8, 12, 22, 27, 20)","datetime(2017, 8, 12, 22, 33, 52)","datetime(2017, 8, 12, 22, 52, 21)","datetime(2017, 8, 12, 23, 25, 56)","datetime(2017, 8, 12, 23, 28, 11)","datetime(2017, 8, 12, 23, 38, 16)","datetime(2017, 8, 13, 0, 36, 51)","datetime(2017, 8, 13, 2, 47, 51)","datetime(2017, 8, 13, 3, 46, 11)","datetime(2017, 8, 13, 6, 0, 15)","datetime(2017, 8, 13, 7, 0, 32)","datetime(2017, 8, 13, 13, 31, 28)","datetime(2017, 8, 13, 18, 0, 51)","datetime(2017, 8, 13, 19, 52, 30)","datetime(2017, 8, 14, 12, 39, 16)","datetime(2017, 8, 18, 13, 31, 19)"
5,"datetime(2017, 9, 6, 18, 15, 49)","datetime(2017, 9, 6, 19, 25, 39)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,"datetime(2017, 6, 21, 22, 20, 1)","datetime(2017, 6, 23, 6, 24, 48)","datetime(2017, 6, 23, 6, 43, 57)","datetime(2017, 6, 24, 1, 34, 42)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,"datetime(2017, 5, 27, 21, 29, 58)","datetime(2017, 6, 7, 10, 32, 13)","datetime(2017, 8, 18, 9, 21, 11)","datetime(2017, 8, 19, 13, 23, 5)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,"datetime(2017, 6, 18, 23, 11, 42)","datetime(2017, 6, 27, 2, 35, 17)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,"datetime(2017, 6, 14, 17, 42, 48)","datetime(2017, 7, 14, 13, 3, 5)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
