,Replaced,Replacer
0,http://www.newsweek.com/us-horrified-brutal-assassination-white-helmets-650318#heartbreaking,http://trib.al/ZZxRsua
1,http://www.collective-evolution.com/2017/06/19/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/?mc_cid=a5b0125725&mc_eid=eb833ddb7b,http://feedproxy.google.com/~r/Collective-evolution/~3/l4jap-Y13es/
2,http://feeds.breakingnews.ie/~r/bnireland/~3/7MUM58QDPls/syrian-white-helmets-honoured-with-2016-tipperary-international-peace-prize-804888.html,http://dlvr.it/PlBLlc
3,http://humansarefree.com/2017/05/john-pilger-exposes-white-helmets-as.html,http://feedproxy.google.com/~r/HumansAreFree/~3/lpXlqsMnjCQ/john-pilger-exposes-white-helmets-as.html
4,http://syria.trendolizer.com/2017/09/member-of-syrian-white-helmets-to-receive-tipperary-peace-prize-today.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
5,http://www.bbc.co.uk/news/uk-england-derbyshire-41145925,http://trib.al/E9z2KkV
6,https://on.rt.com/8c4g,https://www.rt.com/news/388960-white-helmets-execution-footage/
7,http://thefreethoughtproject.com/white-helmets-dumping-syrian-soldier-bodies/,http://feeds.feedburner.com/~r/thefreethoughtproject/qBju/~3/Mxb029aj1C0/
8,https://fuhrerious88blog.wordpress.com/2017/06/24/impartial-and-humanitarian-white-helmets-participating-in-the-beheading-and-throwing-of-syrian-soldiers-bodies-at-a-dumpster-in-daraa/,http://feeds.feedburner.com/~r/RememberThe14Words/~3/0S4HOypGFZo/
9,https://mobile.nytimes.com/2015/02/15/opinion/sunday/nicholas-kristof-unpaid-unarmed-lifesavers-in-syria.html,https://www.nytimes.com/2015/02/15/opinion/sunday/nicholas-kristof-unpaid-unarmed-lifesavers-in-syria.html
10,http://uk.trendolizer.com/2017/08/white-helmets-rescuers-shot-dead-in-syria.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
11,http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,http://dlvr.it/Pdgprk
12,http://www.fort-russ.com/2017/06/reuters-al-jazeera-film-white-helmets.html,http://feeds.feedburner.com/~r/FortRuss/~3/2n4yJ4W_Lcg/reuters-al-jazeera-film-white-helmets.html
13,"http://www.newsweek.com/oscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407#utm_sguid=155260,930d684d-9e1e-235f-2672-f14fae24b3ec",http://feeds.feedburner.com/~r/newsweek/lnSx/~3/TYPEvIJelbA/oscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407
14,https://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,https://www.linkedin.com/slink?code=eTsq8Nr
15,http://news.sky.com/story/seven-white-helmet-volunteers-shot-in-the-head-at-base-10984698?dcmp=snt-sf-twitter,http://feeds.feedburner.com/~r/skynews/XXjt/~3/IzjWnFRqPXU/seven-white-helmet-volunteers-shot-in-the-head-at-base-10984698
16,https://www.africanhhb.com/2017/07/adham-assaad-white-helmets.html,http://feeds.feedburner.com/~r/africanhhb/kYPv/~3/8-WA3Rl4v0Q/adham-assaad-white-helmets.html
17,https://on.rt.com/8fv5,https://www.rt.com/news/393809-white-helmets-mutilated-bodies/#.WU4RcAKyH8c.twitter
18,http://edition.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,http://dlvr.it/Pdgprk
19,https://worldtruth.tv/gruesome-video-shows-oscar-winning-white-helmets-beheading-dumping-syrian-army-bodies/,http://feedproxy.google.com/~r/ConsciousnessTv/~3/dDWsNCSc6Xs/
20,http://www.washingtonsblog.com/2017/07/68359.html,http://feeds.feedburner.com/~r/Anti-natoGroup/~3/sT4HuWLlz7w/68359.html
21,https://www.nbcnews.com/storyline/isis-terror/amp/7-white-helmets-medics-killed-syria-s-idlib-n792046,https://t.co/IYu3SaB5u8
22,http://www.mlive.com/spartans/index.ssf/2017/09/as_michigan_state_dons_white_h.html,http://trib.al/QysFOZW
23,http://www.middleeasteye.net/in-depth/features/we-have-lost-best-men-town-lives-syrias-murdered-aid-workers-1594734868#sthash.vwrMOt4D.uxfs,https://shar.es/1S29zy
24,https://www.activistpost.com/2017/07/russia-questions-opcw-omission-white-helmets-video-justify-syria-bombing.html,http://feedproxy.google.com/~r/ActivistPost/~3/ecGRnSoYb0Y/russia-questions-opcw-omission-white-helmets-video-justify-syria-bombing.html
25,http://thefreethoughtproject.com/white-helmets-caught-aiding-alqaeda-fighters/,http://feeds.feedburner.com/~r/thefreethoughtproject/qBju/~3/wtK_ROkaijg/
26,http://blogs.trendolizer.com/2017/07/white-helmets-continue-to-make-fake-films.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
27,https://www.alternet.org/grayzone-project/syrias-white-helmets-subject-oscar-winning-film-caught-dumping-dead-soldiers-fire,http://oscars.einnews.com/article/388667253/7xFIVUbEizyy0PLK?ref=rss&ecode=fIMWaBvnDWeTXF8w
28,http://www.telegraph.co.uk/news/2017/09/01/old-fashioned-white-helmets-display-team-wound-army-looks-promote/,http://feeds.feedburner.com/~r/co/YuxL/~3/1cg_dLrvIUY/
29,https://r3publican.wordpress.com/2017/07/06/the-fraud-of-the-white-helmets/,http://feeds.feedburner.com/~r/R3publicans/~3/nc6kwGZA08U/
30,https://www.voanews.com/a/us-condemns-murders-of-7-syrian-white-helmets/3984041.html,http://feeds.feedburner.com/~r/voanews/YCdP/~3/hqhcqE03Ta8/3984041.html
31,http://hosted.ap.org/dynamic/stories/M/ML_SYRIA_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT,http://feeds.feedburner.com/~r/APTopNewsSyndication/~3/18VJIzpQqQc/ML_SYRIA_THE_LATEST
32,https://mobile.almasdarnews.com/article/father-iconic-aleppo-boy-slams-white-helmets-profiting-off-sons-ash-strewn-image/,https://www.almasdarnews.com/article/father-iconic-aleppo-boy-slams-white-helmets-profiting-off-sons-ash-strewn-image/
33,http://www.npr.org/2017/08/14/543477504/white-helmets-rescuer-among-several-killed-in-syria-attack,http://feeds.feedburner.com/~r/npr/GIKY/~3/dBRVukwpCBA/white-helmets-rescuer-among-several-killed-in-syria-attack
34,http://www.thedailysheeple.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses_062017#sthash.pJyptnyN.uxfs,http://feeds.feedburner.com/~r/feedburner/PjEij/~3/zMNtILDfj-E/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses_062017
35,http://nato.trendolizer.com/2017/07/white-helmets-used-as-propaganda-by-nato-for-further-intervention-into-syria.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
36,https://upi.com/6618110t,http://oscars.einnews.com/article/397790094/amHRjCvt10qDT633?ref=rss&ecode=fIMWaBvnDWeTXF8w
37,http://rss.cnn.com/~r/rss/cnn_world/~3/chq94lIHlWI/index.html,http://dlvr.it/Pdgprk
38,https://on.rt.com/7sdf,https://www.rt.com/news/363363-white-helmets-funded-west/
39,https://sputniknews.com/middleeast/201706231054899766-white-helmets-volunteer-beheaded-bodies/,http://feeds.feedburner.com/~r/rian/yucS/~3/r84PEopnqSg/
40,https://amp.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers,http://dlvr.it/Pdym5z
41,http://www.tribunnews.com/nasional/2017/08/13/tujuh-relawan-white-helmets-tewas-tertembak,http://feeds.feedburner.com/~r/tribunnews/dFUA/~3/rqk2gQD7mkI/tujuh-relawan-white-helmets-tewas-tertembak
42,http://www.ibtimes.co.uk/A6rKH,http://feeds.feedburner.com/~r/co/KaTuE/~3/TiMECBSgW54/syrias-white-helmets-hold-leaders-accountable-after-rescue-workers-assassinated-their-sleep-1634957
43,https://www.buzzfeed.com/jamesball/uk-search-and-rescue-teams-are-donating-equipment-to-syrias,http://dlvr.it/PgJz45
44,http://www.thedailysheeple.com/new-video-destroys-little-omran-white-helmets-story-proves-wh-terrorists-used-boy-as-propaganda_062017#sthash.XPqIGsRO.uxfs,http://feeds.feedburner.com/~r/feedburner/PjEij/~3/VTwgr2l71gE/new-video-destroys-little-omran-white-helmets-story-proves-wh-terrorists-used-boy-as-propaganda_062017
45,http://www.dailymail.co.uk/news/article-4805430/White-Helmets-ride-time-month.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490,http://trib.al/AMsVPNQ
46,http://terrorism.trendolizer.com/2017/07/white-helmets-supporter-george-clooney-and-wife-are-leaving-the-uk-for-fear-of-isis-attacks.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
47,http://www.1afsym.tk/2017/06/white-helmets-severed-heads-of-syrian_21.html,http://feeds.feedburner.com/~r/1afsym/~3/GcQ3sjbsldg/white-helmets-severed-heads-of-syrian.html
48,http://www.dailymail.co.uk/news/article-4784600/White-Helmets-rescuers-shot-dead-Syria.html#ixzz4pYtXta8G,http://trib.al/YioLbRp
49,http://www.breakingnews.ie/ireland/syrian-white-helmets-honoured-with-2016-tipperary-international-peace-prize-804888.html,http://dlvr.it/PlBLlc
50,http://humansarefree.com/2017/06/father-of-famous-aleppo-boy-just.html,http://feeds.feedburner.com/~r/HumansAreFree/~3/o06im0o97YI/father-of-famous-aleppo-boy-just.html
51,http://awards.trendolizer.com/2017/07/white-helmets-continue-to-make-fake-films.html,http://www.trendolizer.com/2017/06/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world.html
52,https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers?platform=hootsuite,http://dlvr.it/Pdym5z
53,http://www.fort-russ.com/2017/08/7-members-of-notorious-white-helmets.html,http://feeds.feedburner.com/~r/FortRuss/~3/pduSH8sJBTk/7-members-of-notorious-white-helmets.html
54,https://www.activistpost.com/2017/06/new-video-destroys-little-omran-white-helmets-propaganda-proves-wh-terrorists-used-boy-as-propaganda.html,http://feedproxy.google.com/~r/ActivistPost/~3/dbQyKgBnpA4/new-video-destroys-little-omran-white-helmets-propaganda-proves-wh-terrorists-used-boy-as-propaganda.html
55,http://edition.cnn.com/2017/01/19/health/my-hero-hala-gorani-white-helmets-syria/index.html,http://www.cnn.com/2017/02/26/us/white-helmets-oscar/index.html
56,https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963?mod=fox_australian,http://feeds.feedburner.com/~r/wsj/sAPF/~3/A__j955Iuwk/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963
